Year;Author;Title;Abstract;estado;justificacion;fase2_score;fase2_clasificacion;fase2_justificacion;fase2_model_used
2023;"Prakoso, T.; Sukoriyanti, E.; Novitasari, K.L.; Riyadi, M.A.";A 5.8 GHz Circularly Polarized Microstrip Antenna Array for 1U CubeSat;Internet of Remote Things can be facilitated by network of CubeSats to connect communication nodes located at remote areas. Due to CubeSat's small dimension, it is challenging to produce antenna with high gain, low axial-ratio, and wide bandwidth both in impedance and axial ratio. This paper presents a circularly polarized microstrip array optimized for a side of 1U CubeSat (10 cm x 10 cm). An array of 4x4 corner-truncated microstrip patches is constructed on 0.79mm-thick RT5870. Sequential-rotation technique is employed as the array's feeding network. Electromagnetic simulations show that the antenna design can produce a peak realized gain of 13.34 dBic (left-hand) at 5.8 GHz, realized gain above 10.34 dBic at 5.08 GHz to 6.45 GHz, axial ratio below 3 dB at 5.45 GHz to 6.29 GHz, and reflection coefficient below -10 dB at 5.34 GHz to 6.21 GHz. © 2024 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: microstrip antenna, CubeSat;0.95;incluido;The abstract clearly focuses on the design and performance evaluation of a circularly polarized microstrip antenna array specifically for a 1U CubeSat. Key phrases include 'optimized for a side of 1U CubeSat (10 cm x 10 cm)', 'Electromagnetic simulations show that the antenna design can produce a peak realized gain of 13.34 dBic (left-hand) at 5.8 GHz', and 'axial ratio below 3 dB at 5.45 GHz to 6.29 GHz'. These details align well with the inclusion criteria of addressing the design, performance evaluation, and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2022;"Qi, C.; Frederick, Q.; Smith, J.; Davis, K.J.; Lindsay, D.; Cox, J.; Campbell, B.; Parke, S.; Griffin, J.D.; Durgin, G.D.";A 5.8 GHz Sensor-Fusion Energy-Harvesting Tag for Sensing Applications in Space;Passive backscatter radio frequency (RF) tags have been used for many terrestrial applications and have the potential for use in many identification and sensing applications in space. Passive RF tags do not require a battery, but operate by harvesting energy from an RF signal emitted by a reader and communicate by modulating the signal scattered from its antenna. Therefore, they consume very little power and can operate without a battery. This paper discusses the design of a passive backscatter RF tag for use on the Radio Frequency Tag Satellite (RFTSat), a 3U cubesat that was designed and launched by a team of undergraduate students. The paper presents the design of the tag's energy harvester, microstrip patch antennas, and discusses the sensors included on the tag. The paper concludes by presenting the data collected from the RF tag while in orbit. This scientific sensing experiment also proves to be the first in-orbit demonstration of space solar power where microwave energy is collected and used as the sole power source for an electrical system performing useful work in space. © 2024 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: microstrip patch, CubeSat;0.85;observación;The abstract discusses the design of a passive backscatter RF tag for use on a 3U CubeSat, specifically mentioning the design of microstrip patch antennas. This aligns with the inclusion criteria of focusing on the design and implementation of microstrip or printed antennas for CubeSat communication systems. The phrase 'the design of the tag's energy harvester, microstrip patch antennas, and discusses the sensors included on the tag' is particularly relevant.;qwen/qwen-2.5-72b-instruct
2023;"Rahmat-Samii, Y.; Wang, J.; Zamora, J.; Freebury, G.; Hodges, R.E.; Horst, S.J.";A 7 m × 1.5 m Aperture Parabolic Cylinder Deployable Mesh Reflector Antenna for Next-Generation Satellite Synthetic Aperture Radar;A high-priority next-generation satellite remote sensing mission necessitates a lightweight deployable antenna that can fit in the package of low-Earth orbit (LEO) small satellites. In this work, we present the development of a 7 m ×1.5 m aperture C-band parabolic cylinder mesh reflector along with a 1 × 32 element linear patch array feed. The detailed and tailored mechanical design, full-wave analysis, and measurements of the reflector are elaborated. The reflector is constructed with a mesh surface with unique deployment mechanisms for weight reduction and stowage. The linear microstrip patch array feed is designed with a lightweight honeycomb substrate and is used for the breadboard testing of the parabolic cylinder reflector. The antenna achieved the desired surface accuracy and a measured gain of 42.06 dBi at 5.357 GHz, with half-power beamwidths of 0.52° and 2.35° in the two principal planes. © 2023 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2023;"De, R.; Abegaonkar, M.P.; Basu, A.";A broadband circularly polarized Fabry Perot antenna with spatially separated superstrate area excitation for CubeSat applications;This article describes the development of a high-gain, broadband, circularly polarized Fabry–Perot cavity (FPC) antenna for high-data-rate communication in CubeSat/SmallSat applications. In this work, the concept of spatially separated superstrate area excitation is developed for the first time in FPC antennas. This concept is then validated and applied to increase the gain and the axial ratio bandwidth of a conventional narrowband circularly polarized source patch antenna. The antenna’s design leverages independent control of polarization at different frequencies, resulting in a large overall bandwidth. The fabricated prototype antenna provides right hand circular polarization with a peak measured gain of 15.73 dBic over a common bandwidth of 1.03 GHz ranging from 7.99 GHz to 9.02 GHz. The gain variation over the bandwidth is less than 1.3 dBic. The antenna measures 80 mm × 80 mm × 21.14 mm and is simple, lightweight, easily integrable with CubeSat body, and useful for X-Band data downlink. When integrated with the metallic body of a 1U CubeSat, the simulated gain of the antenna increases to 17.23 dBic, with a peak measured gain of 16.83 dBic. A deployment method is proposed for this antenna that results in a total stowed volume of only 2.13λ<inf>o</inf> × 2.13λ<inf>o</inf> × 0.084λ<inf>o</inf> (0.38 λo3). © 2023 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, CubeSat;0.95;incluido;The abstract clearly focuses on the design, performance evaluation, and implementation of a Fabry-Perot cavity (FPC) antenna for CubeSat applications. Key phrases include 'high-gain, broadband, circularly polarized FPC antenna for high-data-rate communication in CubeSat/SmallSat applications,' 'useful for X-Band data downlink,' and 'easily integrable with CubeSat body.' These elements align well with the inclusion criteria for the systematic review.;qwen/qwen-2.5-72b-instruct
2017;"Luo, Q.; Gao, S.; Sobhy, M.; Li, J.; Wei, G.; Xu, J.";A Broadband Printed Monofilar Square Spiral Antenna: A circularly polarized low-profile antenna;This article presents a novel circularly polarized (CP) wide-band printed monofilar square spiral antenna (MSSA) with a low profile and 50-X input impedance, as well as a technique to improve the overlapped bandwidth and reduce the profile of a conventional MSSA. To extend the application of the present design to an array antenna, a square cavity is introduced. This simple and low-cost approach results in a wide-band printed MSSA with high directivity. To verify this design concept, antenna prototypes operating at Ku frequency band have been designed and fabricated. Simulation and measurement results show that the present designs have more than 16% 10-dB return loss and 3-dB axial ratio (AR) bandwidth within the same frequency range with high radiation efficiency. The beam-scanning performance of the array antenna using the present design was investigated, and the calculated results suggest that good CP performance is obtained during the beam scanning. The advantages of our MSSA design are wide overlapped bandwidth, low profile, flexibility in antenna performance tuning, and easy fabrication. The present antennas have the potential to be used in small satellites such as microsatellites and CubeSats for tracking, command function, and data downlink applications. © 2017 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2019;"Sitompul, P.P.; Sri Sumantyo, J.T.S.; Kurniawan, F.; Santosa, C.E.; Manik, T.; Hattori, K.; Gao, S.; Liu, J.-Y.";A circularly polarized circularly-slotted-patch antenna with two asymmetrical rectangular truncations for nanosatellite antenna;In this paper, a circularly polarized slot-patch antenna for nanosatellite is presented. The novel design of the circularly polarized wave conducted by two asymmetrical rectangular-truncation techniques implemented on a circularly-slotted-patch on the front side and a deformed-shifted-feedline on the back side of the substrate. The antenna is printed on substrates with the dielectric constant of 2.17 and thickness of 1.6mm. The resonant frequency of the proposed antenna is set at 2.2 GHz with the minimum requirement of the axial ratio bandwidth (ARBW) of 300 MHz. The proposed antenna produces under 10 dB impedance bandwidth (IBW) 1.2765 GHz or equal to 58% (1.7235-3 GHz) with Left-Handed Circular Polarization (LHCP). The average antenna gain reaches 4.5 dBic at 2.2 GHz and the ARBW 327.5MHz or about 14.88% (2.0275-2.355 GHz). This paper includes the description and presentation of the completed discussion. © 2019 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, nanosatellite;0.85;observación;The abstract clearly describes the design and performance evaluation of a circularly polarized slot-patch antenna specifically for nanosatellites, which includes CubeSats. Key phrases such as 'circularly polarized slot-patch antenna for nanosatellite' and 'resonant frequency of the proposed antenna is set at 2.2 GHz with the minimum requirement of the axial ratio bandwidth (ARBW) of 300 MHz' indicate that the study is relevant to the design and performance of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2019;"Ren, X.; Liao, S.; Xue, Q.";A Circularly Polarized Spaceborne Antenna with Shaped Beam for Earth Coverage Applications;Since the earth is spherical in shape, the paths from the satellite to various points on the earth are different in both the distance and atmospheric attenuation. In order to maintain approximately uniform effective signal strength on the surface of the earth, the radiation pattern of the antenna should be formed according to the shape of the earth. Former antennas for earth coverage purpose are either bulky or hard to realize the desired beam pattern within a wide angle range, making them unsuitable for small satellite applications. To solve this problem, this paper presents a novel circularly polarized earth coverage antenna for spaceborne applications. The proposed antenna consists of a specially designed dielectric cylinder, in which a cavity backed patch antenna is embedded. With the help of the concave structure at the top of the dielectric cylinder, the refraction of electromagnetic wave can be controlled, and then the radiation pattern is shaped. A sequentially feeding network is designed to drive the antenna. To verify our concept, a prototype is fabricated and experiments are carried out. The simulation agrees well with the measurement. The earth coverage radiation pattern is obtained within the beamwidth of θ in the range of ±50° with the measured space axial ratio is better than 3 dB from 4.9 to 5.2 GHz. The measured peak gain is about 3.45 dBic at the elevation angle of ±50°. © 2019 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, small satellite;0.2;excluido;The abstract primarily discusses a circularly polarized earth coverage antenna designed for spaceborne applications, focusing on shaping the radiation pattern to maintain uniform signal strength on the Earth's surface. While it mentions the antenna being suitable for small satellite applications, it does not specifically address microstrip or printed antennas for CubeSat communication systems. The design and implementation details are more general and not tailored to CubeSats.;qwen/qwen-2.5-72b-instruct
2021;"Shah, P.; Kumar, S.";A Circularly Polarized Swastika Shaped Crossed Dipole Antenna for Cubesat;In this article, a circularly polarized antenna is proposed. The main radiating element of the proposed design is made up of swastika-shaped crossed dipoles. Four parasitic patches are placed with the radiating element for better impedance bandwidth and axial ratio bandwidth. To excite the circular polarization quarter vacant rings are used with the adjacent arms of the swastika shape crossed dipole with a single coaxial cable. The proposed CP antenna with AR bandwidth of 900 MHz (1.375 - 2.275 GHz) and IBW of 1.38 GHz (1.08 - 2.46 GHz) can be used in the L and S-band small satellite applications. © 2022 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2024;"Omari, F.; Benhmimou, B.; Oubahsis, N.; Gupta, N.; Hussain, N.; Garg, S.; Najma, I.; Maheswaran, S.; Ahl Laamara, R.A.; El Bakkali, M.";A Compact and Extremely Stiffness CPW-Fed Metal-Only Patch Antenna Array for Unlimited Lifetime 2U CubeSat Mission Capabilities;This article is designed to help with the construction of an integrated small-size antenna system for 2U CubeSats. Dipole antennas necessitate deployable subsystems for 2U CubeSats, which have a limited space margin for redundant components inside the box, making the antenna deployment subsystem a single point of failure. In this letter, a 50 Ω coplanar waveguide strip line supplied the integrated metallic antenna array. The goal of this research is to create a high-strength 2U CubeSat body integrated metallic patch antenna capable of performing for infinite lifespan CubeSat flights while using little power. Due to the Quasi Newtonian Method’s optimization of the entire antenna architecture, the antenna has a high return loss, a peak gain of almost 17.0 dBi, and an incredibly broad impedance bandwidth centered on the working frequency of 12.05 GHz. In addition, the proposed metallic antenna array is cheap, lightweight, and has a very stiff construction for usage in space applications. These achievements enable us to continue pursuing long-term, low-cost, high-altitude satellite missions using 2U CubeSat designs at low power consumption. © 2024 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, CubeSat;0.9;incluido;The abstract clearly focuses on the design and performance evaluation of a coplanar waveguide (CPW)-fed metal-only patch antenna array specifically for 2U CubeSat missions. Key phrases such as 'integrated small-size antenna system for 2U CubeSats', 'high-strength 2U CubeSat body integrated metallic patch antenna', and 'performing for infinite lifespan CubeSat flights' indicate that the study is directly relevant to the design and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2015;"Samsuzzaman, M.; Islam, M.T.; Kibria, S.; Cho, M.";A compact circularly polarized high gain S-band nanosatellite antenna using ramped convergence particle swarm optimization;In this article, a compact single layer coaxial probe fed circularly polarized high gain patch antenna for HORYU-IV nanosatellite S-band communication is presented. The proposed antenna consists of four asymmetric V-shaped slits, one at each corner of a rectangular patch, and a parasitic rectangular strip. Using ramped convergence particle swarm optimization algorithm to optimize some primary parameters of the antenna. Prototypes of the proposed design antenna was fabricated and studied experimentally. Measurement and simulation results are indicating that the proposed antenna realizes the required HORYU-IV nanosatellite specifications for low earth orbit satellite application in terms of frequency bandwidth, axial ratio (AR), right hand circular polarization (RHCP), gain, and 3-dB AR beamwidth. © 2021 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, nanosatellite;0.95;incluido;The abstract clearly focuses on the design, performance evaluation, and implementation of a compact circularly polarized high gain patch antenna for the HORYU-IV nanosatellite, which is a CubeSat. Key phrases include 'compact single layer coaxial probe fed circularly polarized high gain patch antenna for HORYU-IV nanosatellite S-band communication' and 'realizes the required HORYU-IV nanosatellite specifications for low earth orbit satellite application'. These phrases indicate that the study is directly relevant to the design and performance of microstrip antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2007;"Arnieri, E.; Boccia, L.; Amendola, G.; DI Massa, G.";A compact high gain antenna for small satellite applications;The development of a circularly-polarized compact high-gain antenna to be used for the European Student Earth Orbiter small satellite mission is described. The antenna is realized stacking two coaxial shorted annular patches and placing the top one at half a wavelength from the lower one. At variance of other similar configurations proposed in the past, the one presented in this paper has several important features which can be extremely useful for application in the space environment. In particular, it can be easily fabricated employing suspended technology and its radiation characteristics are to some extent controllable by opportunely varying the geometry. In the following, a straightforward design procedure will be presented detailing the criteria to optimize top and bottom radiating elements. Both numerical and measured results will show that the proposed design satisfies the specifications and presents characteristics comparable to other larger and heavier solutions usually more difficult to design. Specifically, it will be shown that with this configuration it is possible to obtain gain values higher than 12 dB using ground plane of moderate size and that a further improvement up to 15dB can be obtained employing larger ground planes. © 2007 IEEE. © 2008 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2004;"Arnieri, E.; Boccia, L.; Amendola, G.; DI Massa, G.";A compact high gain antenna for small-satellites;In this paper it is proposed an innovative high gain microstrip antenna well suited for aerospace applications. The design rationale is based on the features of the Shorted Annular Patch (SAP) [ref. 1] antennas. These radiators have been studied for their radiation pattern flexibility features. The gain increase combined with the possibility to control the beam aperture can result highly beneficial in designing directive antennas of small and medium satellites. In addition to the radiation properties, SAP antennas have mechanical features well suited for application in space environment. In fact, shorted rings can be easily adapted to solutions employing suspended technology and high performance materials. This opportunity eliminates the problems arising from the sensitivity of the electrical characteristics of the substrates and the distortion generated by the diffraction of surface waves seems to be advisable. This configuration is easily accomplished as the central short provides a supporting element on which single or stacked SAPs can be build. The design is based on a SAP radiator integrated with a stacked parasitic element. With this solution the beam aperture can be shaped by opportunely selecting the antenna outer radius while the parasitic patch is used to further increase the antenna gain. © 2008 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2019;"Chen, S.-L.; Shie, M.-H.";A compact high gain x-band patch antenna for cube and small satellite applications;This paper presents a compact high gain substrate integrated waveguide (SIW) cavity backed patch antennas at X-band for small satellite applications. The proposed SIW cavity backed patch antenna radiates a right-or left-handed circularly polarization (RHCP/LHCP) around 8GHz to 8.3GHz. In order to increase the transmitting data rate of 600Mbps and the peak gain to least 9dBic for X-band satellite downlink applications, the SIW technology is used to build a rectangular cavity which surrounds a circular microstrip patch. The proposed SIW cavity patch antenna unit is well suited for cube satellite applications, and the compact antenna array design concept consists of the proposed SIW cavity-backed patch antennas with high isolation and dual polarization for high resolution remote sensing satellite applications. © 2020 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, microstrip patch, small satellite;0.85;observación;The abstract specifically mentions the design of a 'compact high gain substrate integrated waveguide (SIW) cavity backed patch antenna at X-band for small satellite applications' and states that it is 'well suited for cube satellite applications.' This aligns with the inclusion criteria of focusing on the design, performance evaluation, and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
